variante,nombre_canonico,codigo
Algeria,Algeria,DZA
Argentina,Argentina,ARG
Australia,Australia,AUS
Austria,Austria,AUT
Belgium,Belgium,BEL
Bosnia,Bosnia and Herzegovina,BIH
Bosnia & Herzegovina,Bosnia and Herzegovina,BIH
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Bosnia-Herzegovina,Bosnia and Herzegovina,BIH
Brasil,Brazil,BRA
Brazil,Brazil,BRA
Cameroon,Cameroon,CMR
Canada,Canada,CAN
Cabo Verde,Cape Verde,CPV
Cape Verde,Cape Verde,CPV
Cape-Verde,Cape Verde,CPV
Colombia,Colombia,COL
Costa Rica,Costa Rica,CRI
Croatia,Croatia,HRV
CURACAO,Curacao,CUW
Curacao,Curacao,CUW
Curacao ,Curacao,CUW
Curaçao,Curacao,CUW
Czech Rep.,Czechia,CZE
Czech Republic,Czechia,CZE
Czechia,Czechia,CZE
Congo DR,DR Congo,COD
D.R. Congo,DR Congo,COD
DR Congo,DR Congo,COD
Democratic Republic of the Congo,DR Congo,COD
Denmark,Denmark,DNK
Ecuador,Ecuador,ECU
Egypt,Egypt,EGY
England,England,ENG
France,France,FRA
Deutschland,Germany,DEU
Germany,Germany,DEU
Ghana,Ghana,GHA
Haiti,Haiti,HTI
Iceland,Iceland,ISL
IR Iran,Iran,IRN
Iran,Iran,IRN
"Iran, I.R.",Iran,IRN
Iraq,Iraq,IRQ
Cote d Ivoire,Ivory Coast,CIV
Côte d'Ivoire,Ivory Coast,CIV
Côte d’Ivoire,Ivory Coast,CIV
Ivory Coast,Ivory Coast,CIV
Japan,Japan,JPN
Jordan,Jordan,
Mexico,Mexico,MEX
México,Mexico,MEX
Morocco,Morocco,MAR
Holland,Netherlands,NLD
Netherlands,Netherlands,NLD
The Netherlands,Netherlands,NLD
New Zealand,New Zealand,NZL
New-Zealand,New Zealand,NZL
Nigeria,Nigeria,NGA
Norway,Norway,NOR
Panama,Panama,PAN
Paraguay,Paraguay,PRY
Peru,Peru,PER
Poland,Poland,POL
Portugal,Portugal,PRT
Qatar,Qatar,QAT
Russia,Russia,RUS
KSA,Saudi Arabia,SAU
Saudi Arabia,Saudi Arabia,SAU
Saudi-Arabia,Saudi Arabia,SAU
Scotland,Scotland,SCO
Senegal,Senegal,SEN
Serbia,Serbia,SRB
South Africa,South Africa,ZAF
Korea Rep.,South Korea,KOR
Korea Republic,South Korea,KOR
Rep. of Korea,South Korea,KOR
South Korea,South Korea,KOR
España,Spain,ESP
Spain,Spain,ESP
Sweden,Sweden,SWE
Suisse,Switzerland,CHE
Switzerland,Switzerland,CHE
Tunisia,Tunisia,TUN
Turkey,Turkey,TUR
Turkiye,Turkey,TUR
Türkiye,Turkey,TUR
U.S.A.,United States,USA
US,United States,USA
USA,United States,USA
United States,United States,USA
United States of America,United States,USA
Uruguay,Uruguay,URY
Uzbekistan,Uzbekistan,
Wales,Wales,WAL
